,model,num_cores,WER,sample_id,engine,run_id,time,text_len,audio_len
185,stt_en_citrinet_256,?,0.11764705882352941,1701-141760-0018,NeMo,1,0.17415621131658554,78,5.215
186,stt_en_citrinet_256,?,0.11764705882352941,1701-141760-0018,NeMo,2,0.16663419641554356,78,5.215
187,stt_en_citrinet_256,?,0.11764705882352941,1701-141760-0018,NeMo,3,0.17255166172981262,78,5.215
188,stt_en_citrinet_256,?,0.11764705882352941,1701-141760-0018,NeMo,4,0.16730746813118458,78,5.215
189,stt_en_citrinet_256,?,0.11764705882352941,1701-141760-0018,NeMo,5,0.1635410487651825,78,5.215
190,QuartzNet15x5Base-En,?,0.14285714285714285,1701-141760-0019,NeMo,1,0.2664808314293623,60,3.555
191,QuartzNet15x5Base-En,?,0.14285714285714285,1701-141760-0019,NeMo,2,0.2712420951575041,60,3.555
192,QuartzNet15x5Base-En,?,0.14285714285714285,1701-141760-0019,NeMo,3,0.19999396800994873,60,3.555
193,QuartzNet15x5Base-En,?,0.14285714285714285,1701-141760-0019,NeMo,4,0.2448462527245283,60,3.555
194,QuartzNet15x5Base-En,?,0.14285714285714285,1701-141760-0019,NeMo,5,0.25197916105389595,60,3.555
195,stt_en_citrinet_256,?,0.21428571428571427,1701-141760-0019,NeMo,1,0.17896699719130993,60,3.555
196,stt_en_citrinet_256,?,0.21428571428571427,1701-141760-0019,NeMo,2,0.12921831011772156,60,3.555
197,stt_en_citrinet_256,?,0.21428571428571427,1701-141760-0019,NeMo,3,0.12339819222688675,60,3.555
198,stt_en_citrinet_256,?,0.21428571428571427,1701-141760-0019,NeMo,4,0.11999818496406078,60,3.555
199,stt_en_citrinet_256,?,0.21428571428571427,1701-141760-0019,NeMo,5,0.1427896562963724,60,3.555
200,QuartzNet15x5Base-En,?,0.1,1701-141760-0020,NeMo,1,0.3409675657749176,111,7.01
201,QuartzNet15x5Base-En,?,0.1,1701-141760-0020,NeMo,2,0.28983763977885246,111,7.01
202,QuartzNet15x5Base-En,?,0.1,1701-141760-0020,NeMo,3,0.2818016353994608,111,7.01
203,QuartzNet15x5Base-En,?,0.1,1701-141760-0020,NeMo,4,0.32073437236249447,111,7.01
204,QuartzNet15x5Base-En,?,0.1,1701-141760-0020,NeMo,5,0.282693712040782,111,7.01
205,stt_en_citrinet_256,?,0.15,1701-141760-0020,NeMo,1,0.168353371322155,111,7.01
206,stt_en_citrinet_256,?,0.15,1701-141760-0020,NeMo,2,0.1649604570120573,111,7.01
207,stt_en_citrinet_256,?,0.15,1701-141760-0020,NeMo,3,0.15910227224230766,111,7.01
208,stt_en_citrinet_256,?,0.15,1701-141760-0020,NeMo,4,0.15764561668038368,111,7.01
209,stt_en_citrinet_256,?,0.15,1701-141760-0020,NeMo,5,0.14980727806687355,111,7.01
210,QuartzNet15x5Base-En,?,0.1,1701-141760-0021,NeMo,1,0.20656652376055717,52,4.1
211,QuartzNet15x5Base-En,?,0.1,1701-141760-0021,NeMo,2,0.17619656398892403,52,4.1
212,QuartzNet15x5Base-En,?,0.1,1701-141760-0021,NeMo,3,0.1853151060640812,52,4.1
213,QuartzNet15x5Base-En,?,0.1,1701-141760-0021,NeMo,4,0.2333683017641306,52,4.1
214,QuartzNet15x5Base-En,?,0.1,1701-141760-0021,NeMo,5,0.24058126099407673,52,4.1
215,stt_en_citrinet_256,?,0.1,1701-141760-0021,NeMo,1,0.16123123280704021,52,4.1
216,stt_en_citrinet_256,?,0.1,1701-141760-0021,NeMo,2,0.1528137307614088,52,4.1
217,stt_en_citrinet_256,?,0.1,1701-141760-0021,NeMo,3,0.13289610110223293,52,4.1
218,stt_en_citrinet_256,?,0.1,1701-141760-0021,NeMo,4,0.14645111188292503,52,4.1
219,stt_en_citrinet_256,?,0.1,1701-141760-0021,NeMo,5,0.13511109724640846,52,4.1
220,QuartzNet15x5Base-En,?,0.0847457627118644,1701-141760-0022,NeMo,1,0.7072479780763388,311,19.7550625
221,QuartzNet15x5Base-En,?,0.0847457627118644,1701-141760-0022,NeMo,2,0.7236951403319836,311,19.7550625
222,QuartzNet15x5Base-En,?,0.0847457627118644,1701-141760-0022,NeMo,3,0.6705742422491312,311,19.7550625
223,QuartzNet15x5Base-En,?,0.0847457627118644,1701-141760-0022,NeMo,4,0.7695711515843868,311,19.7550625
224,QuartzNet15x5Base-En,?,0.0847457627118644,1701-141760-0022,NeMo,5,0.7201338242739439,311,19.7550625
225,stt_en_citrinet_256,?,0.0847457627118644,1701-141760-0022,NeMo,1,0.3194942604750395,311,19.7550625
226,stt_en_citrinet_256,?,0.0847457627118644,1701-141760-0022,NeMo,2,0.26580933667719364,311,19.7550625
227,stt_en_citrinet_256,?,0.0847457627118644,1701-141760-0022,NeMo,3,0.26598585955798626,311,19.7550625
228,stt_en_citrinet_256,?,0.0847457627118644,1701-141760-0022,NeMo,4,0.31772563233971596,311,19.7550625
229,stt_en_citrinet_256,?,0.0847457627118644,1701-141760-0022,NeMo,5,0.2815942596644163,311,19.7550625
230,QuartzNet15x5Base-En,?,0.06666666666666667,1701-141760-0023,NeMo,1,0.24187302216887474,68,5.315
231,QuartzNet15x5Base-En,?,0.06666666666666667,1701-141760-0023,NeMo,2,0.21910169534385204,68,5.315
232,QuartzNet15x5Base-En,?,0.06666666666666667,1701-141760-0023,NeMo,3,0.20906275510787964,68,5.315
233,QuartzNet15x5Base-En,?,0.06666666666666667,1701-141760-0023,NeMo,4,0.2495795115828514,68,5.315
234,QuartzNet15x5Base-En,?,0.06666666666666667,1701-141760-0023,NeMo,5,0.22776507958769798,68,5.315
235,stt_en_citrinet_256,?,0.06666666666666667,1701-141760-0023,NeMo,1,0.1552266012877226,68,5.315
236,stt_en_citrinet_256,?,0.06666666666666667,1701-141760-0023,NeMo,2,0.15155872330069542,68,5.315
237,stt_en_citrinet_256,?,0.06666666666666667,1701-141760-0023,NeMo,3,0.14137543737888336,68,5.315
238,stt_en_citrinet_256,?,0.06666666666666667,1701-141760-0023,NeMo,4,0.15959015116095543,68,5.315
239,stt_en_citrinet_256,?,0.06666666666666667,1701-141760-0023,NeMo,5,0.19242574274539948,68,5.315
240,QuartzNet15x5Base-En,?,0.15384615384615385,1701-141760-0024,NeMo,1,0.2861097026616335,67,4.49
241,QuartzNet15x5Base-En,?,0.15384615384615385,1701-141760-0024,NeMo,2,0.18868941999971867,67,4.49
242,QuartzNet15x5Base-En,?,0.15384615384615385,1701-141760-0024,NeMo,3,0.1937102023512125,67,4.49
243,QuartzNet15x5Base-En,?,0.15384615384615385,1701-141760-0024,NeMo,4,0.18930098786950111,67,4.49
244,QuartzNet15x5Base-En,?,0.15384615384615385,1701-141760-0024,NeMo,5,0.18535116873681545,67,4.49
245,stt_en_citrinet_256,?,0.23076923076923078,1701-141760-0024,NeMo,1,0.14903192967176437,67,4.49
246,stt_en_citrinet_256,?,0.23076923076923078,1701-141760-0024,NeMo,2,0.1417860072106123,67,4.49
247,stt_en_citrinet_256,?,0.23076923076923078,1701-141760-0024,NeMo,3,0.13913645409047604,67,4.49
248,stt_en_citrinet_256,?,0.23076923076923078,1701-141760-0024,NeMo,4,0.1377725750207901,67,4.49
249,stt_en_citrinet_256,?,0.23076923076923078,1701-141760-0024,NeMo,5,0.1312691606581211,67,4.49
